OCC_CODE	OCC_TITLE	EDUCATIONLEVELID
23-2099	Legal Support Workers All Other	ASSC
25-0000	Education Training and Library Occupations	UNDT
25-1011	Business Teachers Postsecondary	DCTR
25-1021	Computer Science Teachers Postsecondary	DCTR
25-1022	Mathematical Science Teachers Postsecondary	DCTR
25-1031	Architecture Teachers Postsecondary	DCTR
25-1032	Engineering Teachers Postsecondary	DCTR
25-1041	Agricultural Sciences Teachers Postsecondary	DCTR
25-1042	Biological Science Teachers Postsecondary	DCTR
25-1043	Forestry and Conservation Science Teachers Postsecondary	DCTR
25-1051	Atmospheric Earth Marine and Space Sciences Teachers Postsecondary	DCTR
25-1052	Chemistry Teachers Postsecondary	DCTR
25-1053	Environmental Science Teachers Postsecondary	DCTR
25-1054	Physics Teachers Postsecondary	DCTR
25-1061	Anthropology and Archeology Teachers Postsecondary	DCTR
25-1062	Area Ethnic and Cultural Studies Teachers Postsecondary	DCTR
25-1063	Economics Teachers Postsecondary	DCTR
25-1064	Geography Teachers Postsecondary	DCTR
25-1065	Political Science Teachers Postsecondary	DCTR
25-1066	Psychology Teachers Postsecondary	DCTR
25-1067	Sociology Teachers Postsecondary	DCTR
25-1069	Social Sciences Teachers Postsecondary All Other	DCTR
25-1071	Health Specialties Teachers Postsecondary	DCTR
25-1072	Nursing Instructors and Teachers Postsecondary	DCTR
25-1081	Education Teachers Postsecondary	DCTR
25-1082	Library Science Teachers Postsecondary	DCTR
25-1111	Criminal Justice and Law Enforcement Teachers Postsecondary	DCTR
25-1112	Law Teachers Postsecondary	DCTR
25-1113	Social Work Teachers Postsecondary	DCTR
25-1121	Art Drama and Music Teachers Postsecondary	MSTR
25-1122	Communications Teachers Postsecondary	DCTR
25-1123	English Language and Literature Teachers Postsecondary	DCTR
25-1124	Foreign Language and Literature Teachers Postsecondary	DCTR
25-1125	History Teachers Postsecondary	DCTR
25-1126	Philosophy and Religion Teachers Postsecondary	DCTR
25-1191	Graduate Teaching Assistants	BACH
25-1192	Home Economics Teachers Postsecondary	MSTR
25-1193	Recreation and Fitness Studies Teachers Postsecondary	DCTR
25-1194	Vocational Education Teachers Postsecondary	BACH
25-1199	Postsecondary Teachers All Other	DCTR
25-2011	Preschool Teachers Except Special Education	ASSC
25-2012	Kindergarten Teachers Except Special Education	BACH
25-2021	Elementary School Teachers Except Special Education	BACH
25-2022	Middle School Teachers Except Special and Career/Technical Education	BACH
25-2023	Career/Technical Education Teachers Middle School	BACH
25-2031	Secondary School Teachers Except Special and Career/Technical Education	BACH
25-2032	Career/Technical Education Teachers Secondary School	BACH
25-2051	Special Education Teachers Preschool	BACH
25-2052	Special Education Teachers Kindergarten and Elementary School	BACH
25-2053	Special Education Teachers Middle School	BACH
25-2054	Special Education Teachers Secondary School	BACH
25-2059	Special Education Teachers All Other	BACH
25-3011	Adult Basic and Secondary Education and Literacy Teachers and Instructors	BACH
25-3021	Self-Enrichment Education Teachers	HIGH
25-3097	Teachers and Instructors All Other Except Substitute Teachers	UNDT
25-3098	Substitute Teachers	UNDT
25-4011	Archivists	MSTR
25-4012	Curators	MSTR
25-4013	Museum Technicians and Conservators	BACH
25-4021	Librarians	MSTR
25-4031	Library Technicians	SCND
25-9011	Audio-Visual and Multimedia Collections Specialists	BACH
25-9021	Farm and Home Management Advisors	MSTR
25-9031	Instructional Coordinators	MSTR
25-9041	Teacher Assistants	SCND
25-9099	Education Training and Library Workers All Other	BACH
27-0000	Arts Design Entertainment Sports and Media Occupations	UNDT
27-1011	Art Directors	BACH
27-1012	Craft Artists	NONE
27-1013	Fine Artists Including Painters Sculptors and Illustrators	BACH
27-1014	Multimedia Artists and Animators	BACH
27-1019	Artists and Related Workers All Other	NONE
27-1021	Commercial and Industrial Designers	BACH
27-1022	Fashion Designers	BACH
27-1023	Floral Designers	HIGH
27-1024	Graphic Designers	BACH
27-1025	Interior Designers	BACH
27-1026	Merchandise Displayers and Window Trimmers	HIGH
27-1027	Set and Exhibit Designers	BACH
27-1029	Designers All Other	BACH
27-2011	Actors	SCND
27-2012	Producers and Directors	BACH
27-2021	Athletes and Sports Competitors	NONE
27-2022	Coaches and Scouts	BACH
27-2023	Umpires Referees and Other Sports Officials	HIGH
27-2031	Dancers	NONE
27-2032	Choreographers	HIGH
27-2041	Music Directors and Composers	BACH
27-2042	Musicians and Singers	NONE
27-2099	Entertainers and Performers Sports and Related Workers All Other	NONE
27-3011	Radio and Television Announcers	BACH
27-3012	Public Address System and Other Announcers	HIGH
27-3021	Broadcast News Analysts	BACH
27-3022	Reporters and Correspondents	BACH
27-3031	Public Relations Specialists	BACH
27-3041	Editors	BACH
27-3042	Technical Writers	BACH
27-3043	Writers and Authors	BACH
27-3091	Interpreters and Translators	BACH
27-3099	Media and Communication Workers All Other	HIGH
27-4011	Audio and Video Equipment Technicians	SCND
27-4012	Broadcast Technicians	ASSC
27-4013	Radio Operators	HIGH
27-4014	Sound Engineering Technicians	SCND
27-4021	Photographers	HIGH
27-4031	Camera Operators Television Video and Motion Picture	BACH
27-4032	Film and Video Editors	BACH
27-4099	Media and Communication Equipment Workers All Other	HIGH
29-0000	Healthcare Practitioners and Technical Occupations	UNDT
29-1011	Chiropractors	DCTR
29-1021	Dentists General	DCTR
29-1022	Oral and Maxillofacial Surgeons	DCTR
29-1023	Orthodontists	DCTR
29-1024	Prosthodontists	DCTR
29-1029	Dentists All Other Specialists	DCTR
29-1031	Dietitians and Nutritionists	BACH
29-1041	Optometrists	DCTR
29-1051	Pharmacists	DCTR
29-1061	Anesthesiologists	DCTR
29-1062	Family and General Practitioners	DCTR
29-1063	Internists General	DCTR
29-1064	Obstetricians and Gynecologists	DCTR
29-1065	Pediatricians General	DCTR
29-1066	Psychiatrists	DCTR
29-1067	Surgeons	DCTR
29-1069	Physicians and Surgeons All Other	DCTR
29-1071	Physician Assistants	MSTR
29-1081	Podiatrists	DCTR
29-1122	Occupational Therapists	MSTR
29-1123	Physical Therapists	DCTR
29-1124	Radiation Therapists	ASSC
29-1125	Recreational Therapists	BACH
29-1126	Respiratory Therapists	ASSC
29-1127	Speech-Language Pathologists	MSTR
29-1128	Exercise Physiologists	BACH
29-1129	Therapists All Other	BACH
29-1131	Veterinarians	DCTR
29-1141	Registered Nurses	BACH
29-1151	Nurse Anesthetists	MSTR
29-1161	Nurse Midwives	MSTR
29-1171	Nurse Practitioners	MSTR
29-1181	Audiologists	DCTR
29-1199	Health Diagnosing and Treating Practitioners All Other	MSTR
29-2011	Medical and Clinical Laboratory Technologists	BACH
29-2012	Medical and Clinical Laboratory Technicians	ASSC
29-2021	Dental Hygienists	ASSC
29-2031	Cardiovascular Technologists and Technicians	ASSC
29-2032	Diagnostic Medical Sonographers	ASSC
29-2033	Nuclear Medicine Technologists	ASSC
29-2034	Radiologic Technologists	ASSC
29-2035	Magnetic Resonance Imaging Technologists	ASSC
29-2041	Emergency Medical Technicians and Paramedics	SCND
29-2051	Dietetic Technicians	ASSC
29-2052	Pharmacy Technicians	HIGH
29-2053	Psychiatric Technicians	SCND
29-2054	Respiratory Therapy Technicians	ASSC
29-2055	Surgical Technologists	SCND
29-2056	Veterinary Technologists and Technicians	ASSC
29-2057	Ophthalmic Medical Technicians	SCND
29-2061	Licensed Practical and Licensed Vocational Nurses	SCND
29-2071	Medical Records and Health Information Technicians	SCND
29-2081	Opticians Dispensing	HIGH
29-2091	Orthotists and Prosthetists	MSTR
29-2092	Hearing Aid Specialists	HIGH
29-2099	Health Technologists and Technicians All Other	SCND
29-9011	Occupational Health and Safety Specialists	BACH
29-9012	Occupational Health and Safety Technicians	HIGH
29-9091	Athletic Trainers	BACH
29-9092	Genetic Counselors	MSTR
29-9099	Healthcare Practitioners and Technical Workers All Other	SCND
31-0000	Healthcare Support Occupations	UNDT
31-1011	Home Health Aides	HIGH
31-1013	Psychiatric Aides	HIGH
31-1014	Nursing Assistants	SCND
31-1015	Orderlies	HIGH
31-2011	Occupational Therapy Assistants	ASSC
31-2012	Occupational Therapy Aides	HIGH
31-2021	Physical Therapist Assistants	ASSC
31-2022	Physical Therapist Aides	HIGH
31-9011	Massage Therapists	SCND
31-9091	Dental Assistants	SCND
31-9092	Medical Assistants	SCND
31-9093	Medical Equipment Preparers	HIGH
31-9094	Medical Transcriptionists	SCND
31-9095	Pharmacy Aides	HIGH
31-9096	Veterinary Assistants and Laboratory Animal Caretakers	HIGH
31-9097	Phlebotomists	SCND
31-9099	Healthcare Support Workers All Other	HIGH
33-0000	Protective Service Occupations	UNDT
33-1011	First-Line Supervisors of Correctional Officers	HIGH
33-1012	First-Line Supervisors of Police and Detectives	HIGH
33-1021	First-Line Supervisors of Fire Fighting and Prevention Workers	SCND
33-1099	First-Line Supervisors of Protective Service Workers All Other	HIGH
33-2011	Firefighters	SCND
33-2021	Fire Inspectors and Investigators	SCND
33-2022	Forest Fire Inspectors and Prevention Specialists	HIGH
33-3011	Bailiffs	HIGH
33-3012	Correctional Officers and Jailers	HIGH
33-3021	Detectives and Criminal Investigators	HIGH
33-3031	Fish and Game Wardens	BACH
33-3041	Parking Enforcement Workers	HIGH
33-3051	Police and Sheriff's Patrol Officers	HIGH
33-3052	Transit and Railroad Police	HIGH
33-9011	Animal Control Workers	HIGH
33-9021	Private Detectives and Investigators	HIGH
33-9031	Gaming Surveillance Officers and Gaming Investigators	HIGH
33-9032	Security Guards	HIGH
33-9091	Crossing Guards	NONE
33-9092	Lifeguards Ski Patrol and Other Recreational Protective Service Workers	NONE
33-9093	Transportation Security Screeners	HIGH
33-9099	Protective Service Workers All Other	HIGH
35-0000	Food Preparation and Serving Related Occupations	UNDT
35-1011	Chefs and Head Cooks	HIGH
35-1012	First-Line Supervisors of Food Preparation and Serving Workers	HIGH
35-2011	Cooks Fast Food	NONE
35-2012	Cooks Institution and Cafeteria	NONE
35-2013	Cooks Private Household	SCND
35-2014	Cooks Restaurant	NONE
35-2015	Cooks Short Order	NONE
35-2019	Cooks All Other	NONE
35-2021	Food Preparation Workers	NONE
35-3011	Bartenders	NONE
35-3021	Combined Food Preparation and Serving Workers Including Fast Food	NONE
35-3022	Counter Attendants Cafeteria Food Concession and Coffee Shop	NONE
35-3031	Waiters and Waitresses	NONE
35-3041	Food Servers Nonrestaurant	NONE
35-9011	Dining Room and Cafeteria Attendants and Bartender Helpers	NONE
35-9021	Dishwashers	NONE
35-9031	Hosts and Hostesses Restaurant Lounge and Coffee Shop	NONE
35-9099	Food Preparation and Serving Related Workers All Other	NONE
37-0000	Building and Grounds Cleaning and Maintenance Occupations	UNDT
37-1011	First-Line Supervisors of Housekeeping and Janitorial Workers	HIGH
37-1012	First-Line Supervisors of Landscaping Lawn Service and Groundskeeping Workers	HIGH
37-2011	Janitors and Cleaners Except Maids and Housekeeping Cleaners	NONE
37-2012	Maids and Housekeeping Cleaners	NONE
37-2019	Building Cleaning Workers All Other	NONE
37-2021	Pest Control Workers	HIGH
37-3011	Landscaping and Groundskeeping Workers	NONE
37-3012	Pesticide Handlers Sprayers and Applicators Vegetation	HIGH
37-3013	Tree Trimmers and Pruners	HIGH
37-3019	Grounds Maintenance Workers All Other	NONE
39-0000	Personal Care and Service Occupations	UNDT
39-1011	Gaming Supervisors	HIGH
39-1012	Slot Supervisors	HIGH
39-1021	First-Line Supervisors of Personal Service Workers	HIGH
39-2011	Animal Trainers	HIGH
39-2021	Nonfarm Animal Caretakers	HIGH
39-3011	Gaming Dealers	HIGH
39-3012	Gaming and Sports Book Writers and Runners	HIGH
39-3019	Gaming Service Workers All Other	HIGH
39-3021	Motion Picture Projectionists	NONE
39-3031	Ushers Lobby Attendants and Ticket Takers	NONE
39-3091	Amusement and Recreation Attendants	NONE
39-3092	Costume Attendants	HIGH
39-3093	Locker Room Coatroom and Dressing Room Attendants	HIGH
39-3099	Entertainment Attendants and Related Workers All Other	HIGH
39-4011	Embalmers	ASSC
39-4021	Funeral Attendants	HIGH
39-4031	Morticians Undertakers and Funeral Directors	ASSC
39-5011	Barbers	SCND
39-5012	Hairdressers Hairstylists and Cosmetologists	SCND
39-5091	Makeup Artists Theatrical and Performance	SCND
39-5092	Manicurists and Pedicurists	SCND
39-5093	Shampooers	NONE
39-5094	Skincare Specialists	SCND
39-6011	Baggage Porters and Bellhops	HIGH
39-6012	Concierges	HIGH
39-7011	Tour Guides and Escorts	HIGH
39-7012	Travel Guides	HIGH
39-9011	Childcare Workers	HIGH
39-9021	Personal Care Aides	HIGH
39-9031	Fitness Trainers and Aerobics Instructors	HIGH
39-9032	Recreation Workers	HIGH
39-9041	Residential Advisors	HIGH
39-9099	Personal Care and Service Workers All Other	HIGH
41-0000	Sales and Related Occupations	UNDT
41-1011	First-Line Supervisors of Retail Sales Workers	HIGH
41-1012	First-Line Supervisors of Non-Retail Sales Workers	HIGH
41-2011	Cashiers	NONE
41-2012	Gaming Change Persons and Booth Cashiers	NONE
41-2021	Counter and Rental Clerks	NONE
41-2022	Parts Salespersons	NONE
41-2031	Retail Salespersons	NONE
41-3011	Advertising Sales Agents	HIGH
41-3021	Insurance Sales Agents	HIGH
41-3031	Securities Commodities and Financial Services Sales Agents	BACH
41-3041	Travel Agents	HIGH
41-3099	Sales Representatives Services All Other	HIGH
41-4011	Sales Representatives Wholesale and Manufacturing Technical and Scientific Products	BACH
41-4012	Sales Representatives Wholesale and Manufacturing Except Technical and Scientific Products	HIGH
41-9011	Demonstrators and Product Promoters	NONE
41-9012	Models	NONE
41-9021	Real Estate Brokers	HIGH
41-9022	Real Estate Sales Agents	HIGH
41-9031	Sales Engineers	BACH
41-9041	Telemarketers	NONE
41-9091	Door-to-Door Sales Workers News and Street Vendors and Related Workers	NONE
41-9099	Sales and Related Workers All Other	HIGH
43-0000	Office and Administrative Support Occupations	UNDT
43-1011	First-Line Supervisors of Office and Administrative Support Workers	HIGH
43-2011	Switchboard Operators Including Answering Service	HIGH
43-2021	Telephone Operators	HIGH
43-2099	Communications Equipment Operators All Other	HIGH
43-3011	Bill and Account Collectors	HIGH
43-3021	Billing and Posting Clerks	HIGH
43-3031	Bookkeeping Accounting and Auditing Clerks	SCND
43-3041	Gaming Cage Workers	HIGH
43-3051	Payroll and Timekeeping Clerks	HIGH
43-3061	Procurement Clerks	HIGH
43-3071	Tellers	HIGH
43-3099	Financial Clerks All Other	HIGH
43-4011	Brokerage Clerks	HIGH
43-4021	Correspondence Clerks	HIGH
43-4031	Court Municipal and License Clerks	HIGH
43-4041	Credit Authorizers Checkers and Clerks	HIGH
43-4051	Customer Service Representatives	HIGH
43-4061	Eligibility Interviewers Government Programs	HIGH
43-4071	File Clerks	HIGH
43-4081	Hotel Motel and Resort Desk Clerks	HIGH
43-4111	Interviewers Except Eligibility and Loan	HIGH
43-4121	Library Assistants Clerical	HIGH
43-4131	Loan Interviewers and Clerks	HIGH
43-4141	New Accounts Clerks	HIGH
43-4151	Order Clerks	HIGH
43-4161	Human Resources Assistants Except Payroll and Timekeeping	ASSC
43-4171	Receptionists and Information Clerks	HIGH
43-4181	Reservation and Transportation Ticket Agents and Travel Clerks	HIGH
43-4199	Information and Record Clerks All Other	HIGH
43-5011	Cargo and Freight Agents	HIGH
43-5021	Couriers and Messengers	HIGH
43-5031	Police Fire and Ambulance Dispatchers	HIGH
43-5032	Dispatchers Except Police Fire and Ambulance	HIGH
43-5041	Meter Readers Utilities	HIGH
43-5051	Postal Service Clerks	HIGH
43-5052	Postal Service Mail Carriers	HIGH
43-5053	Postal Service Mail Sorters Processors and Processing Machine Operators	HIGH
43-5061	Production Planning and Expediting Clerks	HIGH
43-5071	Shipping Receiving and Traffic Clerks	HIGH
43-5081	Stock Clerks and Order Fillers	HIGH
43-5111	Weighers Measurers Checkers and Samplers Recordkeeping	HIGH
43-6011	Executive Secretaries and Executive Administrative Assistants	HIGH
43-6012	Legal Secretaries	HIGH
43-6013	Medical Secretaries	HIGH
43-6014	Secretaries and Administrative Assistants Except Legal Medical and Executive	HIGH
43-9011	Computer Operators	HIGH
43-9021	Data Entry Keyers	HIGH
43-9022	Word Processors and Typists	HIGH
43-9031	Desktop Publishers	ASSC
43-9041	Insurance Claims and Policy Processing Clerks	HIGH
43-9051	Mail Clerks and Mail Machine Operators Except Postal Service	HIGH
43-9061	Office Clerks General	HIGH
43-9071	Office Machine Operators Except Computer	HIGH
43-9081	Proofreaders and Copy Markers	BACH
43-9111	Statistical Assistants	BACH
43-9199	Office and Administrative Support Workers All Other	HIGH
45-0000	Farming Fishing and Forestry Occupations	UNDT
45-1011	First-Line Supervisors of Farming Fishing and Forestry Workers	HIGH
45-2011	Agricultural Inspectors	BACH
45-2021	Animal Breeders	HIGH
45-2041	Graders and Sorters Agricultural Products	NONE
45-2091	Agricultural Equipment Operators	NONE
45-2092	Farmworkers and Laborers Crop Nursery and Greenhouse	NONE
45-2093	Farmworkers Farm Ranch and Aquacultural Animals	NONE
45-2099	Agricultural Workers All Other	NONE
45-3011	Fishers and Related Fishing Workers	UNDT
45-4011	Forest and Conservation Workers	HIGH
45-4021	Fallers	HIGH
45-4022	Logging Equipment Operators	HIGH
45-4023	Log Graders and Scalers	HIGH
45-4029	Logging Workers All Other	HIGH
47-0000	Construction and Extraction Occupations	UNDT
47-1011	First-Line Supervisors of Construction Trades and Extraction Workers	HIGH
47-2011	Boilermakers	HIGH
47-2021	Brickmasons and Blockmasons	HIGH
47-2022	Stonemasons	HIGH
47-2031	Carpenters	HIGH
47-2041	Carpet Installers	NONE
47-2042	Floor Layers Except Carpet Wood and Hard Tiles	NONE
47-2043	Floor Sanders and Finishers	NONE
47-2044	Tile and Marble Setters	NONE
47-2051	Cement Masons and Concrete Finishers	NONE
47-2053	Terrazzo Workers and Finishers	HIGH
47-2061	Construction Laborers	NONE
47-2071	Paving Surfacing and Tamping Equipment Operators	HIGH
47-2072	Pile-Driver Operators	HIGH
47-2073	Operating Engineers and Other Construction Equipment Operators	HIGH
47-2081	Drywall and Ceiling Tile Installers	NONE
47-2082	Tapers	NONE
47-2111	Electricians	HIGH
47-2121	Glaziers	HIGH
47-2131	Insulation Workers Floor Ceiling and Wall	NONE
47-2132	Insulation Workers Mechanical	HIGH
47-2141	Painters Construction and Maintenance	NONE
47-2142	Paperhangers	NONE
47-2151	Pipelayers	NONE
47-2152	Plumbers Pipefitters and Steamfitters	HIGH
47-2161	Plasterers and Stucco Masons	NONE
47-2171	Reinforcing Iron and Rebar Workers	HIGH
47-2181	Roofers	NONE
47-2211	Sheet Metal Workers	HIGH
47-2221	Structural Iron and Steel Workers	HIGH
47-2231	Solar Photovoltaic Installers	HIGH
47-3011	Helpers--Brickmasons Blockmasons Stonemasons and Tile and Marble Setters	NONE
47-3012	Helpers--Carpenters	NONE
47-3013	Helpers--Electricians	HIGH
47-3014	Helpers--Painters Paperhangers Plasterers and Stucco Masons	NONE
47-3015	Helpers--Pipelayers Plumbers Pipefitters and Steamfitters	HIGH
47-3016	Helpers--Roofers	NONE
47-3019	Helpers Construction Trades All Other	NONE
47-4011	Construction and Building Inspectors	HIGH
47-4021	Elevator Installers and Repairers	HIGH
47-4031	Fence Erectors	NONE
47-4041	Hazardous Materials Removal Workers	HIGH
47-4051	Highway Maintenance Workers	HIGH
47-4061	Rail-Track Laying and Maintenance Equipment Operators	HIGH
47-4071	Septic Tank Servicers and Sewer Pipe Cleaners	HIGH
47-4091	Segmental Pavers	HIGH
47-4099	Construction and Related Workers All Other	HIGH
47-5011	Derrick Operators Oil and Gas	NONE
47-5012	Rotary Drill Operators Oil and Gas	NONE
